File,Purpose
runtime/__init__.py,RuntimeEnforcer facade wiring all 6 rules
runtime/models.py,"RunContext, StageOutput, RouteSelection, ValidationResult, TerminalState, FailureRecord, MergeResult, ContextEnrichment"
runtime/route_enforcer.py,Rules 1 & 2
runtime/merge_zone.py,Rule 3
runtime/validation_authority.py,Rule 4 (7-check FINAL AUTHORITY)
runtime/memory_guard.py,Rule 5
runtime/failure_handler.py,Rule 6
templates.py,"Contract-compliant file generator (source, test, config, init, script, manifest)"
validator.py,Post-install validation gate (6 checks between versions)
rollback.py,File tracking + rollback on failure
manifests/loader.py,"28 version manifests, 130 files mapped (v5.91.0 → v10.2.0)"
engine.py,Master scaffolding orchestrator
constants.py,Single source of truth for all architectural constants
cli.py,"claire-scaffold CLI with install, status, manifest, runtime, recover, validate commands"
__init__.py,Package init
__main__.py,Module entry point